log_date,rom_rev,log_path,mafv_bin,mafgs_bin,sample_count,mean_correction,median_correction,std_co,std_correction
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.593,6.565505,3,-4.166666666666667,-4.6875,,0.9021097956087905
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.593,7.731196,2,-2.34375,-2.34375,,1.1048543456039803
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.593,8.044332,15,-3.2812533333333334,-2.34375,,5.604202026810733
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.593,9.456532,191,-1.1043829842931938,-1.5625,,5.123107195813987
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.593,9.9646,52,-0.5258413461538461,0.0,,2.439924017434767
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.6417,6.225371,1,-1.5625,-1.5625,,
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.6417,6.565505,3,-6.77085,-5.46875,,9.830540078245956
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.6417,7.731196,1,-5.46875,-5.46875,,
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.6417,8.044332,5,1.71875,2.34375,,2.891680550519023
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.6417,9.456532,56,-0.8649535714285713,-1.171875,,4.801363574802638
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.6417,9.9646,384,0.0386562499999999,-0.78125,,3.5647623676472087
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.6417,11.0771,247,0.1138672064777328,0.0,,3.981977688820687
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.68,7.731196,1,-8.59375,-8.59375,,
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.68,8.044332,1,-3.125,-3.125,,
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.68,9.456532,3,-4.4271,0.0,,9.768257478562898
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.68,9.9646,8,-0.78125,-1.5625,,3.781489809396745
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.68,11.0771,412,-0.0910192961165048,0.0,,4.474256902776325
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.68,12.5195,198,-0.8680558080808081,-0.78125,,3.99275933267128
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.68,15.00816,1,-1.5625,-1.5625,,
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.7451,4.699582,1,-3.90625,-3.90625,,
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.7451,6.225371,2,-2.34375,-2.34375,,2.209708691207961
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.7451,6.565505,2,4.687525,4.687525,,8.838870120170903
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.7451,9.456532,1,3.125,3.125,,
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.7451,9.9646,3,-4.166666666666667,-5.46875,,2.255274489021976
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.7451,11.0771,45,-2.100696666666667,-1.5625,,4.2655249623021465
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.7451,12.5195,859,-1.116851164144354,-0.78125,,5.301417692734889
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.7451,15.00816,123,-0.4890739837398374,-1.5625,,4.085782939444045
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.81,9.9646,3,-1.5625,-1.5625,,0.78125
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.81,11.0771,3,-2.864583333333333,-2.34375,,3.157384284630766
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.81,12.5195,70,-0.8482121428571429,-0.78125,,5.470764421962555
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.81,15.00816,882,-1.1727604875283446,-1.5625,,4.36504247179755
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.81,15.6572,607,-0.3153310543657331,-0.78125,,3.524012004953956
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.81,17.54912,1,-6.25,-6.25,,
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.85,5.624956,1,5.46875,5.46875,,
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.85,11.0771,1,-2.34375,-2.34375,,
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.85,12.5195,4,-3.90625,-3.515625,,3.664387312362056
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.85,15.00816,35,-1.6741071428571428,-1.5625,,3.742634354186721
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.85,15.6572,1335,-1.1821164419475656,-1.5625,,4.086542783791768
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.85,17.54912,1356,0.1014017699115044,-0.78125,,3.663599319978569
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.85,20.13153,1,-1.5625,-1.5625,,
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.91,9.456532,2,-7.03125,-7.03125,,8.838834764831844
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.91,11.0771,1,-3.90625,-3.90625,,
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.91,12.5195,1,-4.6875,-4.6875,,
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.91,15.00816,1,0.0,0.0,,
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.91,15.6572,4,-1.171875,-1.5625,,1.4959798558692785
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.91,17.54912,1672,-0.660697697368421,-0.78125,,3.82323351963537
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.91,20.13153,888,-0.3589524774774775,-0.78125,,3.6508942155874458
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.91,22.0675,2,-4.6875,-4.6875,,2.209708691207961
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.9888,17.54912,25,-0.7499979999999999,-0.78125,,7.396072023751301
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.9888,20.13153,2063,-0.1586726854095976,-0.78125,,3.828486343333085
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.9888,22.0675,487,0.2021303901437371,0.0,,3.5543316060233585
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.9888,24.28007,1,-3.125,-3.125,,
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.9888,27.4473,1,-3.125,-3.125,,
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,2.05,5.624956,1,1.5625,1.5625,,
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,2.05,9.456532,1,-4.6875,-4.6875,,
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,2.05,12.5195,2,-6.25,-6.25,,0.0
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,2.05,15.00816,1,0.78125,0.78125,,
