AE5L600L Calibration Cross-Reference: RomRaider Definitions <-> Disassembly Descriptors
========================================================================================================================
RomRaider definitions: 622 | Descriptors: 760 | In cal area: 759
Named (matched): 129 | Unnamed: 630
========================================================================================================================

  DATA_ADDR   DESC_ADDR   DIM   SIZE      TYPE      MATCH   NAME
  0xCC99A     0xAC41C     1D         16     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCC9AA     0xAC430     1D         16     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCC9DC     0xAC450     1D          4   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xCC9F0     0xAC470     1D         16     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCCA00     0xAC484     1D         16     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCCA50     0xAC498     1D         16     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCCAA0     0xAC4AC     1D         16     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCCAD4     0xAC4C0     1D          9     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCCB04     0xAC4D4     1D          9     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCCB50     0xAC4E8     1D         16     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCCB8C     0xAC4FC     1D         11     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCCBC4     0xAC510     1D         11     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCCBE8     0xAC524     1D          6   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xCCC38     0xAC544     1D          8     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCCC70     0xAC558     1D         12     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCCCA0     0xAC56C     1D          9     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCCCDC     0xAC580     1D         12     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCCD0C     0xAC594     1D          9     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCCD30     0xAC5A8     1D          6     int16   EXACT  Primary Open Loop Fueling Compensation (Timing Compensation)_
  0xCCD78     0xAC5BC     1D         16     int16   EXACT  CL to OL Transition with Delay (Throttle)
  0xCCDA0     0xAC5D0     1D          6     int16   EXACT  CL to OL Enrichment Threshold (MAF)
  0xCCDC0     0xAC5E4     1D          6     int16   EXACT  Minimum Primary Open Loop Enrichment (Accelerator)
  0xCCDE0     0xAC5F8     1D          6     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xCCE00     0xAC60C     1D          6     int16    NONE  (UNKNOWN - needs RomRaider definition)
